filename,video_all,video_nature,video_social_directed,video_social_undir,video_boundary,video_clipped,pilot_ready
00181DVD.mpg,1,1,0,0,0,0,1
00181DVD_1.mp4,0,0,0,0,0,1,0
00181DVD_2.mp4,0,0,0,0,0,1,0
00182DVD.mpg,1,1,0,0,0,0,1
00182DVD_1.mp4,0,0,0,0,0,1,0
00182DVD_2.mp4,0,0,0,0,0,1,0
00189DVD.mpg,1,1,0,0,0,0,1
00191DVD.mpg,1,1,0,0,0,0,0
00192DVD.mpg,1,1,0,0,0,0,0
00194DVD.mpg,1,1,0,0,0,0,0
00202DVD.mpg,1,1,0,0,0,0,0
00202DVD_1.mp4,0,0,0,0,0,1,0
00202DVD_2.mp4,0,0,0,0,0,1,0
00204DVD.mpg,1,1,0,0,0,0,0
00205DVD.mpg,1,1,0,0,0,0,0
00211DVD.mpg,1,1,0,0,0,0,0
00212DVD.mpg,1,1,0,0,0,0,0
00216DVD.mpg,1,1,0,0,0,0,0
00221DVD.mpg,1,1,0,0,0,0,0
00224DVD.mpg,1,1,0,0,0,0,0
00225DVD.mpg,1,1,0,0,0,0,0
00229DVD.mpg,1,1,0,0,0,0,0
00230DVD.mpg,1,1,0,0,0,0,0
00232DVD.mpg,1,1,0,0,0,0,0
00233DVD.mpg,1,1,0,0,0,0,0
00237DVD.mpg,1,1,0,0,0,0,0
00238DVD.mpg,1,1,0,0,0,0,0
00256DVD.mpg,1,1,0,0,0,0,0
00261DVD.mpg,1,1,0,0,0,0,0
00262DVD.mpg,1,1,0,0,0,0,0
00265DVD.mpg,1,1,0,0,0,0,0
00276DVD.mpg,1,1,0,0,0,0,0
00287DVD.mpg,1,1,0,0,0,0,0
00288DVD.mpg,1,1,0,0,0,0,0
00291DVD.mpg,1,1,0,0,0,0,0
00293DVD.mpg,1,1,0,0,0,0,0
00295DVD.mpg,1,1,0,0,0,0,0
00297DVD.mpg,1,1,0,0,0,0,0
00301DVD.mpg,1,1,0,0,0,0,0
00303DVD.mpg,1,1,0,0,0,0,0
00318DVD.mpg,1,1,0,0,0,0,0
00319DVD.mpg,1,1,0,0,0,0,0
00322DVD.mpg,1,1,0,0,0,0,0
00330DVD.mpg,1,1,0,0,0,0,0
00331DVD.mpg,1,1,0,0,0,0,0
00332DVD.mpg,1,1,0,0,0,0,0
00333DVD.mpg,1,1,0,0,0,0,0
00334DVD.mpg,1,1,0,0,0,0,0
00335DVD.mpg,1,1,0,0,0,0,0
00336DVD.mpg,1,1,0,0,0,0,0
00337DVD.mpg,1,1,0,0,0,0,0
00346DVD.mpg,1,1,0,0,0,0,0
00350DVD.mpg,1,1,0,0,0,0,0
00353DVD.mpg,1,1,0,0,0,0,0
00364DVD.mpg,1,1,0,0,0,0,0
00382DVD.mpg,1,1,0,0,0,0,0
00391DVD.mpg,1,1,0,0,0,0,0
00393DVD.mpg,1,1,0,0,0,0,0
00396DVD.mpg,1,1,0,0,0,0,0
00397DVD.mpg,1,1,0,0,0,0,0
00402DVD.mpg,1,1,0,0,0,0,0
00403DVD.mpg,1,1,0,0,0,0,0
00405DVD.mpg,1,1,0,0,0,0,0
00406DVD.mpg,1,1,0,0,0,0,0
00407DVD.mpg,1,1,0,0,0,0,0
00408DVD.mpg,1,1,0,0,0,0,0
00422DVD.mpg,1,1,0,0,0,0,0
00423DVD.mpg,1,1,0,0,0,0,0
00424DVD.mpg,1,1,0,0,0,0,0
00429DVD.mpg,1,1,0,0,0,0,0
00437DVD.mpg,1,1,0,0,0,0,0
00441DVD.mpg,1,1,0,0,0,0,0
00442DVD.mpg,1,1,0,0,0,0,0
00443DVD.mpg,1,1,0,0,0,0,0
00444DVD.mpg,1,1,0,0,0,0,0
00453DVD.mpg,1,1,0,0,0,0,0
00463DVD.mpg,1,1,0,0,0,0,0
00467DVD.mpg,1,1,0,0,0,0,0
00471DVD.mpg,1,1,0,0,0,0,0
00472DVD.mpg,1,1,0,0,0,0,0
00475DVD.mpg,1,1,0,0,0,0,0
00476DVD.mpg,1,1,0,0,0,0,0
00481DVD.mpg,1,1,0,0,0,0,0
00482DVD.mpg,1,1,0,0,0,0,0
00485DVD.mpg,1,1,0,0,0,0,0
00486DVD.mpg,1,1,0,0,0,0,0
00501DVD.mpg,1,1,0,0,0,0,0
00502DVD.mpg,1,1,0,0,0,0,0
00509DVD.mpg,1,1,0,0,0,0,0
00510DVD.mpg,1,1,0,0,0,0,0
00511DVD.mpg,1,1,0,0,0,0,0
00512DVD.mpg,1,1,0,0,0,0,0
00514DVD.mpg,1,1,0,0,0,0,0
00516DVD.mpg,1,1,0,0,0,0,0
00519DVD.mpg,1,1,0,0,0,0,0
00524DVD.mpg,1,1,0,0,0,0,0
00525DVD.mpg,1,1,0,0,0,0,0
00535DVD.mpg,1,1,0,0,0,0,0
00536DVD.mpg,1,1,0,0,0,0,0
00537DVD.mpg,1,1,0,0,0,0,0
00549DVD.mpg,1,1,0,0,0,0,0
00552DVD.mpg,1,1,0,0,0,0,0
00560DVD.mpg,1,1,0,0,0,0,0
00561DVD.mpg,1,1,0,0,0,0,0
00563DVD.mpg,1,1,0,0,0,0,0
00564DVD.mpg,1,1,0,0,0,0,0
00568DVD.mpg,1,1,0,0,0,0,0
00570DVD.mpg,1,1,0,0,0,0,0
00572DVD.mpg,1,1,0,0,0,0,0
00574DVD.mpg,1,1,0,0,0,0,0
00575DVD.mpg,1,1,0,0,0,0,0
00578DVD.mpg,1,1,0,0,0,0,0
00594DVD.mpg,1,1,0,0,0,0,0
00595DVD.mpg,1,1,0,0,0,0,0
00596DVD.mpg,1,1,0,0,0,0,0
00597DVD.mpg,1,1,0,0,0,0,0
00600DVD.mpg,1,1,0,0,0,0,0
00602DVD.mpg,1,1,0,0,0,0,0
00603DVD.mpg,1,1,0,0,0,0,0
00605DVD.mpg,1,1,0,0,0,0,0
00606DVD.mpg,1,1,0,0,0,0,0
00613DVD.mpg,1,1,0,0,0,0,0
00618DVD.mpg,1,1,0,0,0,0,0
00619DVD.mpg,1,1,0,0,0,0,0
00623DVD.mpg,1,1,0,0,0,0,0
00624DVD.mpg,1,1,0,0,0,0,0
00627DVD.mpg,1,1,0,0,0,0,0
00628DVD.mpg,1,1,0,0,0,0,0
00632DVD.mpg,1,1,0,0,0,0,0
00633DVD.mpg,1,1,0,0,0,0,0
00634DVD.mpg,1,1,0,0,0,0,0
00635DVD.mpg,1,1,0,0,0,0,0
00636DVD.mpg,1,1,0,0,0,0,0
00638DVD.mpg,1,1,0,0,0,0,0
00641DVD.mpg,1,1,0,0,0,0,0
00649DVD.mpg,1,1,0,0,0,0,0
00651DVD.mpg,1,1,0,0,0,0,0
00653DVD.mpg,1,1,0,0,0,0,0
00654DVD.mpg,1,1,0,0,0,0,0
00655DVD.mpg,1,1,0,0,0,0,0
00657DVD.mpg,1,1,0,0,0,0,0
00658DVD.mpg,1,1,0,0,0,0,0
00661DVD.mpg,1,1,0,0,0,0,0
00669DVD.mpg,1,1,0,0,0,0,0
00673DVD.mpg,1,1,0,0,0,0,0
00683DVD.mpg,1,1,0,0,0,0,0
00685DVD.mpg,1,1,0,0,0,0,0
00686DVD.mpg,1,1,0,0,0,0,0
00696DVD.mpg,1,1,0,0,0,0,0
00703DVD.mpg,1,1,0,0,0,0,0
00706DVD.mpg,1,1,0,0,0,0,0
00711DVD.mpg,1,1,0,0,0,0,0
00712DVD.mpg,1,1,0,0,0,0,0
00720DVD.mpg,1,1,0,0,0,0,0
00729DVD.mpg,1,1,0,0,0,0,0
00730DVD.mpg,1,1,0,0,0,0,0
00731DVD.mpg,1,1,0,0,0,0,0
00733DVD.mpg,1,1,0,0,0,0,0
