filename,keyframes,scene_cuts,scene_scores
00181DVD.mp4,0.000;8.342;14.548;22.890;25.225,14.548;25.225,0.437;0.286
00182DVD.mp4,0.000;1.502;2.870;5.505;6.540;7.407;10.777;12.045;14.681;17.618;20.354;23.423,,
00189DVD.mp4,0.000;4.137;12.279;18.285;23.624,4.137;18.252;23.624,0.193;0.169;0.201
00191DVD.mp4,0.000;6.506;14.848;23.190;25.125,,
00192DVD.mp4,0.000;3.871;8.842;13.647;21.488;26.560,3.837;8.842;13.647;21.488;26.560,0.152;0.156;0.203;0.207;0.210
00194DVD.mp4,0.000;8.342;13.814;14.681;16.550;17.618;25.959,,
00202DVD.mp4,0.000;8.342;16.683;22.789,23.123,0.170
00204DVD.mp4,0.000;7.274;15.616;21.088;29.429,7.274;21.054,0.269;0.182
00205DVD.mp4,0.000;3.237;11.578;12.412;20.754;27.094,27.094,0.188
00211DVD.mp4,0.000;8.342;14.414;22.756;23.891;27.394,9.042;23.891;27.394,0.409;0.186;0.175
00212DVD.mp4,0.000;2.302;9.576;14.915;20.020;24.691,2.302;9.576;14.882;20.020;24.691,0.174;0.347;0.153;0.280;0.237
00216DVD.mp4,0.000;4.004;11.979;20.320;23.857,,
00221DVD.mp4,0.000;0.934;6.306;14.348;16.683;22.956;27.060,0.901;6.306;14.348;22.956;27.027,0.200;0.276;0.212;0.197;0.224
00224DVD.mp4,0.000;3.670;10.577;13.280;21.622;25.158,13.280;25.158,0.168;0.194
00225DVD.mp4,0.000;1.568;8.876;10.477;16.483;21.088;27.361,1.568;10.477;16.483;21.088,0.193;0.205;0.407;0.177
00229DVD.mp4,0.000;4.638;12.980;17.084;21.655;23.223;24.391,24.858,0.208
00230DVD.mp4,0.000;8.342;16.683;25.025,,
00232DVD.mp4,0.000;7.374;13.747;22.089;23.023,7.374;13.714;22.990,0.164;0.243;0.217
00233DVD.mp4,0.000;6.573;13.313;20.687;27.127;29.796,6.540,0.169
00237DVD.mp4,0.000;6.373;8.575;12.446;13.514;18.118;22.322;24.424,6.373;13.480,0.311;0.164
00238DVD.mp4,0.000;2.169;9.109;17.451;25.792;26.894,,
00256DVD.mp4,0.000;5.372;13.714;22.055;24.725,14.481;24.725,0.280;0.278
00261DVD.mp4,0.000;5.372;12.412;20.754;27.227;28.896,28.862,0.215
00262DVD.mp4,0.000;6.073;13.981;18.785;22.856;27.861,13.981;27.861,0.214;0.199
00265DVD.mp4,0.000;8.342;16.683;23.156,17.184;23.123,0.331;0.265
00276DVD.mp4,0.000;3.503;8.542;15.616;19.486;23.390;27.861,8.508;15.616;19.486,0.156;0.184;0.287
00287DVD.mp4,0.000;8.342;16.683;20.287;28.629,0.634,0.266
00288DVD.mp4,0.000;7.741;16.083;24.424,7.741,0.451
00291DVD.mp4,0.000;8.342;14.781;23.123;25.492,14.748;25.492,0.190;0.178
00293DVD.mp4,0.000;8.342;14.915;19.486;27.427,8.642,0.230
00295DVD.mp4,0.000;4.371;12.713;21.054;24.925,4.371;24.925,0.380;0.299
00297DVD.mp4,0.000;8.342;14.248;22.589;25.392,14.214;25.392,0.252;0.476
00301DVD.mp4,0.000;4.004;5.873;6.874;9.776;18.118;22.389,22.389,0.157
00303DVD.mp4,0.000;8.342;16.683;20.754;29.096,0.634;20.754,0.213;0.426
00318DVD.mp4,0.000;8.342;16.683;25.025;27.060,8.675;27.027,0.423;0.162
00319DVD.mp4,0.000;7.407;15.749;17.951;26.293;27.294,17.951;27.261,0.349;0.194
00322DVD.mp4,0.000;8.342;15.015;23.357,,
00330DVD.mp4,0.000;4.671;13.013;21.321;28.862,,
00331DVD.mp4,0.000;6.473;14.114;20.921;28.028,20.888;28.028,0.163;0.194
00332DVD.mp4,0.000;3.837;12.179;16.683;23.857,3.837;16.683;23.824,0.486;0.257;0.223
00333DVD.mp4,0.000;8.342;15.983;22.556;27.694,15.949;22.556;27.594,0.187;0.259;0.209
00334DVD.mp4,0.000;1.535;5.672;11.245;14.548;19.486;26.326,5.639;11.245;14.514;14.548;19.486;26.326,0.366;0.508;0.319;0.166;0.392;0.364
00335DVD.mp4,0.000;4.605;8.642;16.984;22.523,4.605;22.523,0.217;0.408
00336DVD.mp4,0.000;4.872;13.213;16.483;19.553;21.688,4.872,0.477
00337DVD.mp4,0.000;0.868;2.002;5.939;8.775;10.878,,
00346DVD.mp4,0.000;2.369;7.407;9.443;13.780,7.407,0.212
00350DVD.mp4,0.000;5.005,5.005,0.310
00353DVD.mp4,0.000;0.901;1.902;2.903;6.306,0.033,0.210
00364DVD.mp4,0.000;1.702;6.240,6.206,0.250
00382DVD.mp4,0.000;8.342;16.683;18.185;26.526,,
00391DVD.mp4,0.000;4.671;13.013;19.953;25.692,13.046,0.256
00393DVD.mp4,0.000;5.172;7.374;12.012;16.216;20.554;24.291;25.459;26.426;28.462,7.374;12.012;16.216;24.258,0.257;0.207;0.230;0.565
00396DVD.mp4,0.000;8.342;12.412;20.754;23.457,12.412;23.457,0.352;0.536
00397DVD.mp4,0.000;8.308;10.844;12.379;16.950;25.259;27.628,6.673;16.917;23.357;27.594,0.256;0.288;0.375;0.173
00402DVD.mp4,0.000;3.203;6.106;14.414;15.349;23.657;24.658;29.630,6.106;15.349;20.053;25.058,0.175;0.270;0.180;0.170
00403DVD.mp4,0.000;4.538;12.880;21.221;29.563,4.538,0.485
00405DVD.mp4,0.000;6.874;11.745;17.117;21.421;29.763,,
00406DVD.mp4,0.000;2.402;10.744;19.086;23.056,22.990,0.358
00407DVD.mp4,0.000;7.741;13.747;21.755;30.097,21.722,0.161
00408DVD.mp4,0.000;5.606;11.912;20.254;26.426;27.895,,
00422DVD.mp4,0.000;4.738;13.080;21.421;29.763,,
00423DVD.mp4,0.000;8.342;14.414;19.887;21.755;25.759,14.414,0.196
00424DVD.mp4,0.000;4.338;8.876;11.812;20.153;25.993,,
00429DVD.mp4,0.000;0.868;9.209;10.477;14.681;17.885;20.921;22.756;27.694,18.518;27.694,0.202;0.296
00437DVD.mp4,0.000;8.308;9.243;10.244;11.078;12.045;12.880;13.881;14.882;15.883;16.884;17.885;18.919;19.920;21.121;22.122;23.357;24.324;25.158;26.159;27.160;28.161;29.162,,
00441DVD.mp4,0.000;8.342;16.683;24.191,8.642;8.675,0.453;0.215
00442DVD.mp4,0.000;6.840;15.182;18.051;25.559,18.018,0.172
00443DVD.mp4,0.000;4.905;9.109;10.077;11.245;17.317;25.659,,
00444DVD.mp4,0.000;5.405;6.540;8.442;11.311;13.247;21.588;22.623;25.859;29.363,6.540;13.580;25.859,0.195;0.194;0.199
00453DVD.mp4,0.000;1.201;9.543;13.580;16.216;23.991;27.327,1.201;27.327,0.168;0.161
00463DVD.mp4,0.000;3.403;11.745;20.087;22.656,3.403;22.656,0.253;0.201
00467DVD.mp4,0.000;2.836;7.074;10.143;16.950;25.292;26.326;29.796,2.836;7.074;10.143;16.950;26.293;29.763,0.238;0.177;0.308;0.234;0.161;0.178
00471DVD.mp4,0.000;1.668;7.407;13.847;22.189,1.668;7.374;22.222,0.470;0.214;0.265
00472DVD.mp4,0.000;2.202;8.075;14.214;21.822;28.161,2.169;14.214;21.822;28.128,0.233;0.239;0.307;0.186
00475DVD.mp4,0.000;2.603;10.944;11.812;18.552;24.358,2.603;11.812;18.518;24.324,0.254;0.169;0.237;0.156
00476DVD.mp4,0.000;3.904;11.345;17.484;22.055;27.394,3.904;17.484;22.055;27.361,0.162;0.231;0.295;0.155
00481DVD.mp4,0.000;1.802;9.610;10.477;11.378;12.312;20.654;24.958,9.576;24.958,0.159;0.279
00482DVD.mp4,0.000;7.875;11.879;18.485;25.659,7.875;11.879;18.485;25.626,0.199;0.304;0.282;0.233
00485DVD.mp4,0.000;3.437;6.106;8.175;9.743;13.981;15.449;23.790;29.363,,
00486DVD.mp4,0.000;0.968;4.071;8.742;12.045;20.387;28.729,0.968;21.121,0.315;0.206
00501DVD.mp4,0.000;1.535;9.877;13.547;21.889,1.535;13.547,0.254;0.301
00502DVD.mp4,0.000;5.873;14.214;22.556,,
00509DVD.mp4,0.000;8.342;16.683;25.025,,
00510DVD.mp4,0.000;7.774;15.048;18.185;24.925,7.774;18.986,0.160;0.206
00511DVD.mp4,0.000;7.274;13.680;20.187;21.788;27.828,7.241;13.647;20.187;21.788;27.828,0.333;0.217;0.456;0.509;0.864
00512DVD.mp4,0.000;4.972;9.509;16.583;22.489;29.296,4.972;22.489,0.160;0.251
00514DVD.mp4,0.000;2.135;4.671;6.707;12.412;20.754;24.124,12.412;21.321;24.124,0.223;0.202;0.214
00516DVD.mp4,0.000;8.342;16.683;18.118;26.460,18.118,0.275
00519DVD.mp4,0.000;2.002;10.344;18.218;26.026,2.002;18.218,0.326;0.209
00524DVD.mp4,0.000;8.342;16.683;25.025,,
00525DVD.mp4,0.000;4.638;12.980;21.321;29.663,,
00535DVD.mp4,0.000;4.438;10.143;17.017;25.359,4.404;10.143,0.173;0.230
00536DVD.mp4,0.000;1.568;7.207;15.549;19.253;21.388;26.760,1.568;7.207;26.760,0.338;0.345;0.221
00537DVD.mp4,0.000;3.270;6.039;11.745;20.087;21.822;24.057;24.958;26.059;27.394;28.862,11.745,0.593
00549DVD.mp4,0.000;5.072;11.979;17.317;19.953;23.123;28.862,5.072;11.979;19.953;28.862,0.187;0.245;0.190;0.236
00552DVD.mp4,0.000;5.439;13.780;17.084;24.057,5.439;17.084,0.338;0.245
00560DVD.mp4,0.000;8.342;16.683;20.587;21.922;23.357;26.960;29.363,,
00561DVD.mp4,0.000;3.070;11.411;14.982;19.052;20.020;24.925;27.060,,
00563DVD.mp4,0.000;2.336;5.072;8.141;11.311;12.279;14.681;18.685;26.159,,
00564DVD.mp4,0.000;8.342;16.683;21.321;24.458,21.321;24.424,0.305;0.166
00568DVD.mp4,0.000;5.305;13.647;15.649;17.384;25.726,5.305;15.649;17.384,0.231;0.278;0.382
00570DVD.mp4,0.000;8.342;16.683;19.520;27.361,,
00572DVD.mp4,0.000;8.342;15.983;21.455;29.796,8.609;15.983;21.455,0.184;0.516;0.316
00574DVD.mp4,0.000;2.970;8.275;16.617;21.455;29.062,2.936;8.275,0.170;0.518
00575DVD.mp4,0.000;2.369;9.476;13.480;17.084;19.186;22.122;27.294;29.463,2.336;9.476;13.480;17.084;22.122,0.163;0.285;0.219;0.259;0.276
00578DVD.mp4,0.000;7.074;11.511;13.714;22.055,7.007;22.456,0.223;0.269
00594DVD.mp4,0.000;8.342;9.476;17.818;21.154;29.496,,
00595DVD.mp4,0.000;5.172;7.808;10.010;12.012;14.848;17.084;17.985;26.326,,
00596DVD.mp4,0.000;6.874;12.112;14.147;22.489;24.758;28.228;29.062,24.758,0.219
00597DVD.mp4,0.000;7.241;9.676;13.113;14.314;15.315;16.149;24.491,,
00600DVD.mp4,0.000;4.271;12.613;20.954;25.225,4.238,0.180
00602DVD.mp4,0.000;8.342;16.683;17.618;24.157;28.228,8.642;24.157,0.205;0.192
00603DVD.mp4,0.000;1.568;8.575;12.279;18.118;24.291;26.760;28.262,26.727,0.172
00605DVD.mp4,0.000;1.235;7.007;12.646;20.988;23.790,7.007;12.646;21.054,0.179;0.238;0.295
